This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
a0b1d0c5776fc0a077de3ac8094eea96ca5420781dabe3006131b1d3c26e91f5 4 0 0 0
d215a0fe704ca47c7f25db72b43485c1fc49d38c21139d3d526cf90b8f65ddfe 9 9 1057 274
f42d64ac5e718adbc5af0f4f710cef83cb2b55b4b675fef09cb59ceb4d27646a 7 7 6396 790
f4b57be700c7d9e66f681ceac9cd07374d8d3e411412e941b2fb4751751295cd 6 6 551 182
c0808b6ed0058277d393af80fe05a5d08f635ebb1f729ad1e3dcae082844a3ce 2 2 945 0
ad4c5a02ad2daacca68742e8f686e14eeca9ed283da73463db8e4c7d5077272f 2 2 8475 3
5d70b740602d0654200952504ddd51bbf04572fe459cbb662889be4699c2e453 5 5 434 6
f2ef14e5a2df8041d020f78ac606fe62eb35d28a496cb201051fc47110319e74 33 33 22750 1417
9e615eca2bca13675e6a9e9bf1a0aabfe900f5667b72e1667fd2717ddb378667 203 0 0 0
517c14bbab0e859537157ac892868aa4ebf38d550e143aca1fb7190712452cbe 61 0 0 0
22912c47e510d61c0d76218dbee0ffbe8df0cdead476a3cd83826f5e7e95a773 36 35 107256 1864
c782148aa2760ccb45fe5f4cf5964ab4551917fe13144541c52b8eb4277cec58 348 199 883635 12421
0f0d34434c0d79d66fdfab0918644a78d2a50172fd83d91357ddcfcd12953ea7 93 87 157741 28154
a8dc7f38b13784fe96763088edaf5862d4c6dc281b71562890cb987f05871e46 10 10 66576 73
3c8d26a334021695ce8fa98dbd299b6ace84eabf862382b9519facc010612c53 20 20 7530 223
fd5534ba3be406947ec58bec3500272d8839e55880bc0df6f4065362a29a7123 13 0 0 0
ced8a36eb55888a96306a1bda53cd4044975e7a81439487aaebea14a5f6632da 6 6 7277 122
4bdbe0c6c778ca587a098e556249a31f7230f3f46f07344a9dce94a21d38db89 9 9 7560 56
6f37f4d08617ed3e99d30a9c68e11cb517197c50084bacc128378d6e1a7652ad 30 29 313988 1100
2aa00ef40e8fab16e9b05b262d4531990c7473ed96742562257c6acdc34ae52e 29 0 0 0
d7f58ce218dc78ccb52a7a4b5c97182acd4bd035889ba0ecf46351ea230df4ce 17 0 0 0
d72c7dbb3cde5cfb169f631198359d60048da7984676010567dd5bb418d69622 9 9 25734 21587
c82fe037177d67afb0bf2b260d74c4de0b97b98895b35fbcfabad76636444eed 386 303 2381339 1117238
88f580319c595cbcd6c716817663e6600ecb56196569af78e0982dbfac798004 7 7 80460 163
b8dc4eece565f3c63ca71e62445ac194927705739f623b4fc08e35c96ef1ae0d 27 26 429 145
e1de434fe464561683e8a02b99d5617cf68966c07a7bb4a23ae07381ff8c70d2 427 259 1182310 124380
e3676f299d87a938bd2c5d4a4fec1a09283c5aab86f1308932c15c774d5f1526 33 33 21299 1452
371eb8205ff54338a23c126e23cf0aa71155c84c2fc4fc423ba8147521a196da 1 0 0 0
a512ded7a393cb5c7f26c3690fb969cbd5bbdc22e9cd6b00318ac57db4ae4d28 391 169 226622 3307
